Arquivo: a280.tsp
Executado em: dom 07 dez 2025 09:04:32 -03
pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3

seed,fitness,seconds,best_iter
1,3308.72,50.8507,3645
2,3348.6,132.68,4991
3,3136.7,128.83,4800
4,3153.09,180.092,4676
5,3181.13,184.553,4716
6,3167.17,171.093,4456
7,3260.51,128.345,4943
8,3239.23,176.504,4610
9,3283.21,160.31,4643
10,3182.7,187.79,4990
