Arquivo: kroA100.tsp
Executado em: dom 07 dez 2025 08:56:26 -03
pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3

seed,fitness,seconds,best_iter
1,23852.3,48.1268,1393
2,23027.3,49.1249,4695
3,23604.3,47.977,4502
4,23151.8,48.0228,4177
5,23412.1,48.9587,4595
6,22827,48.6087,4731
7,22845.7,48.5571,3076
8,23497,48.7563,1161
9,22532,49.4869,798
10,22279.3,48.09,2737
