Arquivo: d657.tsp
Executado em: dom 07 dez 2025 10:10:12 -03
pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3

seed,fitness,seconds,best_iter
1,81000.4,92.1698,4992
2,75019.9,111.056,4999
3,88576.3,89.3048,4999
4,73519.5,119.216,4998
5,80112.5,92.3544,4999
6,86141.4,88.5429,4999
7,76896.4,94.6531,4999
8,85103.7,89.4688,4999
9,86314.1,90.318,4999
10,75422.5,108.116,4999
